source,stream,rxMs,panoX,panoY,correctedPanoY,rawAzimuthDeg,relativeElevationDeg,absoluteElevationDeg,verticalAngularSizeDeg,panoramaAngularWidthDeg,model,fovDeg,principalYpx,focalYpx,axisPitchDeg,calibrationLevel
BW_20260723_163915_6681.jpg,BW,1784795955517,43259,1870.00000000,1870.00000000,237.62878418,1.18651989,,0.19379694,0.15380859,pinhole,26.88000000,2047.50000000,8570.06027914,,fov_only_model_estimate
BW_20260723_163915_6682.jpg,BW,1784795956093,40518,1765.00000000,1765.00000000,222.57202148,1.88799127,,0.13356630,0.14282227,pinhole,26.88000000,2047.50000000,8570.06027914,,fov_only_model_estimate
BW_20260723_163915_6682.jpg,BW,1784795956093,40952,2034.00000000,2034.00000000,224.95605469,0.09025519,,0.14708225,0.11535645,pinhole,26.88000000,2047.50000000,8570.06027914,,fov_only_model_estimate
BW_20260723_163924_6697.jpg,BW,1784795964740,43257,1872.00000000,1872.00000000,237.61779785,1.17315441,,0.26731295,0.17578125,pinhole,26.88000000,2047.50000000,8570.06027914,,fov_only_model_estimate
BW_20260723_163925_6698.jpg,BW,1784795965315,40518,1765.00000000,1765.00000000,222.57202148,1.88799127,,0.14024515,0.13183594,pinhole,26.88000000,2047.50000000,8570.06027914,,fov_only_model_estimate
BW_20260723_163925_6698.jpg,BW,1784795965315,40952,2034.00000000,2034.00000000,224.95605469,0.09025519,,0.14708225,0.11535645,pinhole,26.88000000,2047.50000000,8570.06027914,,fov_only_model_estimate
BW_20260723_163933_6713.jpg,BW,1784795973961,43257,1872.00000000,1872.00000000,237.61779785,1.17315441,,0.26731295,0.17578125,pinhole,26.88000000,2047.50000000,8570.06027914,,fov_only_model_estimate
BW_20260723_163934_6714.jpg,BW,1784795974539,40518,1766.00000000,1766.00000000,222.57202148,1.88131292,,0.14024515,0.13732910,pinhole,26.88000000,2047.50000000,8570.06027914,,fov_only_model_estimate
BW_20260723_163934_6714.jpg,BW,1784795974539,40952,2110.00000000,2110.00000000,224.95605469,-0.41784102,,0.23398215,0.11535645,pinhole,26.88000000,2047.50000000,8570.06027914,,fov_only_model_estimate
BW_20260723_163942_6729.jpg,BW,1784795983185,43257,1872.00000000,1872.00000000,237.61779785,1.17315441,,0.26731295,0.17028809,pinhole,26.88000000,2047.50000000,8570.06027914,,fov_only_model_estimate
